iter	RMSE
0	932.4976721
1	913.3485393
2	896.5715939
3	881.4933128
4	867.8814206
5	855.7895715
6	844.9799254
7	834.9067105
8	825.9541005
9	818.0851297
10	810.6243194
11	803.9254793
12	797.8831186
13	792.9595817
14	788.5225721
15	784.3393632
16	780.5372895
17	777.0561069
18	773.5750773
19	770.361383
20	768.0490416
21	765.3625339
22	763.2762197
23	761.6698729
24	760.0567931
25	758.0427757
26	756.3558932
27	755.0603914
28	753.3460827
29	751.980601
30	751.0340403
31	749.8794985
32	748.8569875
33	748.0150654
34	747.2282395
35	746.5913297
36	745.943583
37	745.0398428
38	744.2474958
39	743.729539
40	742.9556294
41	742.4925724
42	741.9687383
43	741.3544431
44	740.7029118
45	739.9329264
46	739.5658326
47	739.0687998
48	738.5626545
49	738.1505111
50	737.807408
51	737.4300487
52	737.0895367
53	736.7323757
54	736.4389696
55	735.7882651
56	735.3761937
57	735.088898
58	734.4104486
59	733.9084391
60	733.4391563
61	733.0990738
62	732.7987032
63	732.5719287
64	732.1556544
65	731.8107687
66	731.5544913
67	731.2050491
68	730.8238943
69	730.5081652
70	730.1620566
71	729.9699001
72	729.6335214
73	729.3734195
74	728.963635
75	728.6430824
76	728.2140337
77	727.8134783
78	727.5638599
79	727.2824134
80	727.0233048
81	726.6545507
82	726.4932093
83	726.3027025
84	725.9540097
85	725.5904416
86	725.3080102
87	725.0479516
88	724.7437705
89	724.5248661
90	724.235357
91	724.089292
92	723.8741569
93	723.5457738
94	723.3285833
95	723.152376
96	722.9610618
97	722.6486118
98	722.4602424
99	722.1911049
100	721.9556299
101	721.743954
102	721.5320634
103	721.359801
104	721.2061953
105	720.9487414
106	720.7831809
107	720.5598004
108	720.4619258
109	720.2855362
110	720.0931175
111	719.8281661
112	719.6923039
113	719.4607044
114	719.0981612
115	718.8292407
116	718.6380255
117	718.5171333
118	718.3969911
119	718.1887991
120	717.9799383
121	717.8779479
122	717.7644031
123	717.6076417
124	717.4850332
125	717.3421092
126	717.2121054
127	717.0726425
128	716.7702563
129	716.5204003
130	716.2770443
131	716.1101475
132	715.9718914
133	715.7825645
134	715.6128461
135	715.3859068
136	715.2634669
137	715.1232264
138	714.9530353
139	714.70771
140	714.5093385
141	714.353706
142	714.1853273
143	713.9979681
144	713.8290679
145	713.6842085
146	713.4567248
