iter	Passed	Remaining
439	1813	2308
440	1817	2303
441	1820	2298
442	1824	2293
443	1828	2289
444	1831	2284
445	1836	2280
446	1839	2275
447	1843	2271
448	1847	2266
449	1850	2262
450	1854	2257
451	1858	2253
452	1861	2248
453	1865	2243
454	1869	2238
455	1872	2234
456	1876	2229
457	1880	2224
458	1883	2220
459	1887	2215
460	1890	2210
461	1894	2206
462	1898	2202
463	1902	2197
464	1905	2192
465	1909	2188
466	1913	2183
467	1916	2179
468	1920	2174
469	1924	2169
470	1928	2165
471	1932	2161
472	1935	2156
473	1939	2152
474	1943	2147
475	1947	2143
476	1951	2139
477	1955	2135
478	1959	2131
479	1963	2126
480	1967	2122
481	1970	2118
482	1974	2113
483	1978	2109
484	1982	2104
485	1985	2100
486	1989	2095
487	1992	2090
488	1996	2086
489	2000	2081
490	2003	2077
491	2007	2072
492	2011	2068
493	2015	2063
494	2018	2059
495	2022	2055
496	2027	2051
497	2030	2047
498	2034	2042
499	2038	2038
500	2041	2033
501	2045	2029
502	2048	2024
503	2052	2020
504	2056	2015
505	2060	2011
506	2063	2006
507	2067	2002
508	2071	1998
509	2074	1993
510	2078	1988
511	2082	1984
512	2085	1980
513	2089	1975
514	2093	1971
515	2097	1967
516	2102	1963
517	2106	1960
518	2111	1956
519	2115	1953
520	2120	1949
521	2123	1944
522	2127	1940
523	2131	1936
524	2134	1931
525	2138	1927
526	2142	1922
527	2146	1918
528	2149	1914
529	2153	1909
530	2157	1905
531	2163	1903
532	2170	1901
533	2176	1899
534	2182	1896
535	2189	1895
536	2197	1895
537	2205	1893
538	2212	1891
539	2219	1890
540	2226	1888
541	2235	1888
542	2241	1886
543	2248	1884
544	2255	1883
545	2263	1881
546	2269	1879
547	2275	1877
548	2282	1874
549	2289	1873
550	2296	1871
551	2303	1869
552	2309	1867
553	2315	1863
554	2318	1859
555	2322	1854
556	2325	1849
557	2329	1845
558	2332	1840
559	2336	1836
560	2343	1833
561	2351	1832
562	2358	1830
563	2364	1827
564	2367	1823
565	2371	1818
566	2375	1813
567	2378	1809
568	2382	1804
569	2386	1800
570	2393	1797
571	2400	1796
572	2407	1794
573	2412	1790
574	2416	1785
575	2420	1781
576	2423	1777
577	2427	1772
578	2431	1767
579	2435	1763
580	2441	1760
581	2448	1758
582	2455	1756
583	2460	1753
584	2464	1748
585	2468	1743
586	2471	1739
587	2477	1735
588	2480	1731
589	2485	1727
590	2491	1724
591	2498	1721
592	2506	1720
593	2510	1715
594	2514	1711
595	2518	1706
596	2521	1702
597	2525	1697
598	2528	1692
599	2533	1689
600	2540	1686
601	2548	1684
602	2555	1682
603	2558	1677
604	2562	1673
605	2566	1668
606	2569	1663
607	2573	1659
608	2577	1654
609	2581	1650
610	2588	1647
611	2594	1645
612	2601	1642
613	2606	1638
614	2610	1634
615	2614	1629
616	2617	1625
617	2621	1620
618	2625	1616
619	2630	1612
620	2636	1608
621	2642	1605
622	2651	1604
623	2656	1600
624	2659	1595
625	2663	1591
626	2667	1586
627	2670	1582
628	2674	1577
629	2679	1573
630	2686	1571
631	2693	1568
632	2703	1567
633	2731	1576
634	2737	1573
635	2744	1570
636	2748	1566
637	2752	1562
638	2756	1557
639	2760	1552
640	2763	1547
641	2767	1543
642	2770	1538
643	2774	1533
644	2781	1530
645	2788	1527
646	2794	1524
647	2802	1522
648	2806	1517
649	2810	1513
650	2814	1508
651	2818	1504
652	2821	1499
653	2828	1496
654	2834	1493
655	2840	1489
656	2844	1485
657	2848	1480
658	2852	1476
659	2856	1471
660	2859	1466
661	2863	1461
662	2867	1457
663	2870	1452
664	2874	1448
665	2878	1443
666	2881	1438
667	2885	1434
668	2889	1429
669	2893	1424
670	2897	1420
671	2901	1416
672	2905	1411
673	2908	1406
674	2912	1402
675	2916	1397
676	2920	1393
677	2924	1388
678	2927	1384
679	2931	1379
680	2934	1374
681	2939	1370
682	2943	1366
683	2946	1361
684	2950	1356
685	2954	1352
686	2958	1347
687	2961	1343
688	2965	1338
689	2970	1334
690	2974	1330
691	2977	1325
692	2981	1320
693	2985	1316
694	2988	1311
695	2992	1307
696	2996	1302
697	3000	1298
698	3003	1293
699	3007	1289
700	3011	1284
701	3014	1279
702	3018	1275
703	3022	1270
704	3025	1266
705	3029	1261
706	3033	1257
707	3036	1252
708	3040	1247
709	3044	1243
710	3048	1239
711	3052	1234
712	3055	1229
713	3058	1225
714	3062	1220
715	3067	1216
716	3070	1212
717	3074	1207
718	3077	1202
719	3081	1198
720	3085	1193
721	3090	1189
722	3093	1185
723	3097	1180
724	3100	1176
725	3104	1171
726	3108	1167
727	3111	1162
728	3115	1158
729	3119	1153
730	3123	1149
731	3127	1144
732	3131	1140
733	3135	1136
734	3139	1131
735	3142	1127
736	3146	1122
737	3150	1118
738	3154	1113
739	3157	1109
740	3161	1104
741	3165	1100
742	3168	1095
743	3172	1091
744	3176	1087
745	3180	1082
746	3184	1078
747	3188	1074
748	3191	1069
749	3195	1065
750	3199	1060
751	3203	1056
752	3208	1052
753	3215	1049
754	3222	1045
755	3229	1042
756	3233	1038
757	3237	1033
758	3241	1029
759	3244	1024
760	3248	1020
761	3252	1015
762	3256	1011
763	3262	1007
764	3268	1004
765	3274	1000
766	3280	996
767	3283	991
768	3287	987
769	3290	983
770	3294	978
771	3298	974
772	3301	969
773	3307	965
774	3314	962
775	3321	958
776	3327	954
777	3333	951
778	3340	947
779	3343	943
780	3347	938
781	3351	934
782	3357	930
783	3363	926
784	3371	923
785	3377	919
786	3380	915
787	3384	910
788	3388	906
789	3391	901
790	3395	897
791	3399	892
792	3405	889
793	3411	885
794	3418	881
795	3424	877
796	3430	873
797	3437	870
798	3446	867
799	3453	863
800	3460	859
801	3467	856
802	3473	852
803	3477	847
804	3481	843
805	3484	838
806	3488	834
807	3492	829
808	3495	825
809	3500	821
810	3508	817
811	3514	813
812	3521	809
813	3525	805
814	3528	800
815	3532	796
816	3536	792
817	3539	787
818	3543	783
819	3548	778
820	3554	775
821	3561	771
822	3567	767
823	3572	762
824	3575	758
825	3579	754
826	3583	749
827	3587	745
828	3591	740
829	3596	736
830	3602	732
831	3609	728
832	3616	725
833	3621	720
834	3625	716
835	3629	712
836	3633	707
837	3637	703
838	3640	698
839	3646	694
840	3653	690
841	3727	699
842	3734	695
843	3741	691
844	3748	687
845	3757	684
846	3767	680
847	3771	675
848	3774	671
849	3778	666
850	3782	662
851	3785	657
852	3789	653
853	3795	648
854	3803	645
855	3812	641
856	3817	637
857	3821	632
858	3825	627
859	3828	623
860	3832	618
861	3836	614
862	3841	609
863	3845	605
864	3849	600
865	3855	596
866	3860	592
867	3865	587
868	3868	583
869	3872	578
870	3876	574
871	3879	569
872	3883	564
873	3887	560
874	3890	555
875	3894	551
876	3898	546
877	3904	542
878	3910	538
879	3914	533
880	3917	529
881	3921	524
882	3925	520
883	3929	515
884	3932	511
885	3936	506
886	3940	501
887	3943	497
888	3947	492
889	3953	488
890	3957	484
891	3962	479
892	3965	475
893	3969	470
894	3973	466
895	3976	461
896	3980	457
897	3983	452
898	3987	447
899	3990	443
900	3994	438
901	3999	434
902	4004	430
903	4009	425
904	4013	421
905	4016	416
906	4020	412
907	4023	407
908	4027	403
909	4031	398
910	4034	394
911	4038	389
912	4041	385
913	4045	380
914	4049	376
915	4053	371
916	4057	367
917	4061	362
918	4065	358
919	4068	353
920	4072	349
921	4076	344
922	4079	340
923	4083	335
924	4087	331
925	4091	326
926	4094	322
927	4098	317
928	4102	313
929	4105	309
930	4109	304
931	4113	300
932	4117	295
933	4120	291
934	4124	286
935	4127	282
936	4131	277
937	4135	273
938	4139	268
939	4142	264
940	4146	259
941	4150	255
942	4155	251
943	4158	246
944	4162	242
945	4165	237
946	4169	233
947	4173	228
948	4179	224
949	4183	220
950	4187	215
951	4191	211
952	4195	206
953	4198	202
954	4202	198
955	4206	193
956	4209	189
957	4213	184
958	4217	180
959	4220	175
960	4225	171
961	4232	167
962	4238	162
963	4244	158
964	4249	154
965	4253	149
966	4256	145
967	4260	140
968	4264	136
969	4267	131
970	4272	127
971	4279	123
972	4285	118
973	4292	114
974	4297	110
975	4300	105
976	4304	101
977	4308	96
978	4311	92
979	4315	88
980	4319	83
981	4323	79
982	4327	74
983	4330	70
984	4334	66
985	4338	61
986	4342	57
987	4346	52
988	4350	48
989	4353	43
990	4357	39
991	4361	35
992	4364	30
993	4369	26
994	4374	21
995	4381	17
996	4387	13
997	4392	8
998	4396	4
999	4399	0
